,Wine.Color,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Class
8741,R,8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,Good
8742,W,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,Bad
8743,W,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,Bad
8744,W,5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,Good
8745,W,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,Bad
8746,W,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,Good
8747,R,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,Bad
8748,W,7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,Good
8749,W,6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,Good
8750,W,7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,Good
8751,W,8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,Bad
8752,W,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,Good
8753,R,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,Bad
8754,R,7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,Bad
8755,W,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,Bad
8756,W,7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,Good
8757,R,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,Good
8758,R,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,Bad
8759,W,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,Bad
8760,W,6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,Good
8761,R,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,Good
8762,W,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,Bad
8763,W,6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,Bad
8764,W,5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,Bad
8765,W,6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,Bad
8766,W,6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,Bad
8767,W,7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,Good
8768,W,7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,Bad
8769,R,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,Good
8770,R,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,Bad
8771,W,8,0.37,0.31,4.7,0.038,3,127,0.99186,2.9,0.72,12.1,Bad
8772,R,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,Good
8773,W,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,Good
8774,R,10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,Good
8775,W,5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,Good
8776,W,7.4,0.22,0.26,1.2,0.035,18,97,0.99245,3.12,0.41,9.7,Good
8777,R,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,Bad
8778,W,6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,Good
8779,W,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,Bad
8780,R,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,Bad
8781,W,8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,Bad
8782,R,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,Good
8783,W,7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,Good
8784,W,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,Bad
8785,R,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,Good
8786,R,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,Good
8787,R,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,Bad
8788,R,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,Bad
8789,W,5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,Good
8790,W,6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,Bad
8791,W,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,Bad
8792,W,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,Bad
8793,R,10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,Bad
8794,W,6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,Good
8795,W,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,Good
8796,W,8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,Good
8797,W,7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,Bad
8798,R,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,Good
8799,W,7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,Good
8800,W,7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,Bad
8801,W,7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,Bad
8802,W,7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,Bad
8803,R,9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,Good
8804,W,7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,Bad
8805,W,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,Good
8806,W,6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,Bad
8807,W,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,Bad
8808,W,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,Bad
8809,W,7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,Good
8810,W,6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,Good
8811,R,10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,Good
8812,W,6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,Bad
8813,W,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,Good
8814,W,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,Good
8815,W,7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,Good
8816,W,7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,Good
8817,W,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,Bad
8818,W,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,Bad
8819,W,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,Bad
8820,W,7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,Good
8821,W,6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,Bad
8822,W,6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,Good
8823,R,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,Good
8824,R,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,Bad
8825,R,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,Good
8826,W,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,Good
8827,W,6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,Good
8828,R,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,Bad
8829,R,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,Good
8830,R,8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,Good
8831,R,7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,Bad
8832,W,5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,Good
8833,W,7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,Bad
8834,R,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,Bad
8835,W,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,Bad
8836,W,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,Bad
8837,W,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,Good
8838,W,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,Bad
8839,W,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,Good
8840,W,6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,Good
8841,R,6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,Bad
8842,W,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,Good
8843,W,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,Good
8844,W,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,Good
8845,W,6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,Bad
8846,R,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,Bad
8847,W,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,Good
8848,R,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,Bad
8849,W,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,Bad
8850,R,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,Good
8851,W,6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,Bad
8852,W,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,Bad
8853,R,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,Good
8854,W,7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9,Good
8855,W,6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,Bad
8856,W,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333333,Bad
8857,W,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,Good
8858,W,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,Bad
8859,W,7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,Good
8860,R,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,Good
8861,W,6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,Bad
8862,W,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,Good
8863,R,7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,Bad
8864,R,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,Bad
8865,W,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,Good
8866,W,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,Good
8867,W,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.33333333,Bad
8868,W,6.5,0.32,0.3,2.3,0.051,20,127,0.98964,3.13,0.52,12.8,Bad
8869,W,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,Bad
8870,W,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,Bad
8871,W,7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,Good
8872,W,7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,Bad
8873,W,6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,Good
8874,W,7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,Bad
8875,R,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,Bad
8876,W,6.7,0.53,0.29,4.3,0.069,20,114,0.99014,3.22,0.59,13.4,Bad
8877,W,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,Good
8878,W,7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,Bad
8879,W,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,Good
8880,W,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,Bad
8881,W,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,Bad
8882,W,7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10,Bad
8883,W,6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,Bad
8884,W,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,Bad
8885,R,6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,Bad
8886,W,6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,Good
8887,W,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,Bad
8888,W,7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,Good
8889,R,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,Bad
8890,W,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,Good
8891,R,8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,Bad
8892,W,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,Good
8893,W,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,Good
8894,W,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,Good
8895,W,6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,Bad
8896,W,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,Good
8897,W,7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,Good
8898,W,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,Good
8899,W,6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,Good
8900,R,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,Bad
8901,W,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,Good
8902,R,9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,Bad
8903,W,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,Good
8904,W,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,Good
8905,W,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,Good
8906,W,6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,Bad
8907,W,6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,Good
8908,W,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,Bad
8909,W,6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,Good
8910,W,6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,Good
8911,W,7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,Bad
8912,W,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,Good
8913,W,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,Bad
8914,W,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,Good
8915,W,7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,Good
8916,R,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,Bad
8917,W,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,Bad
8918,W,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,Bad
8919,W,6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,Bad
8920,R,7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,Bad
8921,W,7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,Good
8922,W,9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,Bad
8923,W,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,Good
8924,R,8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,Bad
8925,W,7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,Bad
8926,W,6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,Good
8927,W,7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,Good
8928,W,8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,Good
8929,R,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,Good
8930,W,6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,Good
8931,R,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,Good
8932,W,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,Good
8933,W,7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,Bad
8934,W,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,Good
8935,R,7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,Good
8936,W,6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,Bad
8937,R,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,Good
8938,W,6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,Bad
8939,W,8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,Bad
8940,W,6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,Good
8941,W,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,Bad
8942,W,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,Bad
8943,R,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,Bad
8944,W,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,Bad
8945,W,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,Bad
8946,W,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,Good
8947,W,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,Bad
8948,W,7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,Bad
8949,W,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,Good
8950,W,8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,Good
8951,R,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,Bad
8952,W,6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,Bad
8953,W,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,Good
8954,W,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,Bad
8955,W,7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,Good
8956,W,6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,Bad
8957,W,6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,Good
8958,R,9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,Good
8959,W,7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,Bad
8960,W,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,Good
8961,R,7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,Bad
8962,W,6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,Good
8963,W,7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,Good
8964,R,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,Good
8965,W,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,Bad
8966,W,5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,Good
8967,W,6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,Good
8968,W,7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,Good
8969,W,6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,Good
8970,W,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,Good
8971,R,7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,Bad
8972,R,7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,Good
8973,W,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,Bad
8974,W,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,Bad
8975,W,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,Good
8976,R,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,Bad
8977,W,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,Good
8978,W,7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,Bad
8979,R,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,Good
8980,W,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,Good
8981,W,6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,Bad
8982,W,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,Bad
8983,W,6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,Good
8984,W,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,Good
8985,R,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,Bad
8986,R,7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,Bad
8987,R,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,Good
8988,W,8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,Bad
8989,W,7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,Good
8990,R,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,Bad
8991,R,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,Bad
8992,W,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,Good
8993,W,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,Bad
8994,W,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,Good
8995,W,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,Good
8996,R,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,Bad
8997,R,6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,Good
8998,W,6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,Good
8999,R,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,Good
9000,R,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,Bad
9001,W,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,Bad
9002,W,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,Bad
9003,W,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,Good
9004,W,7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,Bad
9005,W,6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,Bad
9006,W,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,Bad
9007,W,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,Bad
9008,W,7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,Good
9009,W,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,Good
9010,W,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,Bad
9011,W,7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,Good
9012,W,6.2,0.19,0.38,5.1,0.019,22,82,0.98961,3.05,0.36,12.5,Good
9013,R,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,Good
9014,W,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,Good
9015,W,6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,Bad
9016,R,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,Good
9017,W,5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,Bad
9018,W,6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,Bad
9019,W,6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,Bad
9020,R,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,Bad
9021,W,7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,Bad
9022,W,7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,Good
9023,W,6.1,0.23,0.27,9.8,0.055,74,134,0.99534,3.16,0.4,10.2,Good
9024,R,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,Good
9025,W,7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,Bad
